"Age","LoanAmount100k","CreditScore","MonthsEmployed","NumCreditLines","InterestRate","LoanTerm","Education","EmploymentType","MaritalStatus","HasCoSigner","Default","Income100k"
69,0.77867,585,44,3,23.86,48,"Bachelor's","Self-employed","Single","Yes",0,1.22307
58,2.36237,464,106,3,5.64,48,"Bachelor's","Part-time","Married","No",0,0.71304
24,2.29635,504,105,4,14.61,60,"PhD","Full-time","Divorced","No",0,0.58166
30,1.20844,320,43,4,8.23,36,"Master's","Self-employed","Single","Yes",0,1.25142
66,2.25073,485,61,2,22.04,36,"PhD","Part-time","Divorced","No",0,1.03902
29,1.10299,341,71,4,19.82,36,"Bachelor's","Part-time","Divorced","No",1,0.3167
54,1.89046,610,75,3,8.44,48,"High School","Unemployed","Single","Yes",0,0.82162
57,1.65358,488,112,3,15.09,24,"PhD","Self-employed","Single","Yes",1,0.75604
30,1.39365,387,75,1,5.31,60,"Master's","Part-time","Single","No",0,0.66204
33,0.93401,781,92,4,3.76,36,"High School","Self-employed","Divorced","No",0,0.48496
49,2.2672,562,27,1,13.91,36,"Master's","Full-time","Married","Yes",0,0.64761
55,1.60304,419,100,1,5.91,24,"PhD","Part-time","Divorced","Yes",0,0.72253
39,2.33365,382,89,2,6.93,36,"Master's","Full-time","Married","No",0,1.0317
34,0.63939,399,36,4,21.8,36,"Bachelor's","Unemployed","Married","Yes",1,0.38471
32,2.29645,460,56,1,14.45,36,"PhD","Unemployed","Married","Yes",0,1.31966
25,2.49892,683,69,2,22.31,60,"Bachelor's","Unemployed","Divorced","No",0,0.75852
27,1.92712,757,35,2,9.96,12,"High School","Unemployed","Single","Yes",1,1.36429
46,1.34206,665,70,1,14.43,12,"High School","Part-time","Single","No",0,0.73823
26,1.12538,427,4,1,10.26,24,"High School","Self-employed","Single","Yes",0,1.41054
24,0.76723,503,50,1,15.11,36,"Master's","Unemployed","Married","No",0,1.19778
64,1.49788,525,61,1,2.52,36,"High School","Unemployed","Divorced","No",0,0.48668
38,1.56569,732,87,1,3.01,36,"High School","Self-employed","Divorced","No",0,1.19653
53,0.54682,369,47,2,20.02,12,"PhD","Self-employed","Married","No",0,0.83797
20,0.42226,524,56,3,22.46,36,"PhD","Unemployed","Married","Yes",0,0.80323
38,1.64586,312,66,3,10.08,60,"Master's","Unemployed","Married","Yes",0,0.2106
19,1.50392,514,61,2,15.01,36,"Master's","Unemployed","Divorced","Yes",0,1.43539
46,0.68053,835,43,1,8.04,24,"High School","Unemployed","Divorced","No",0,0.43409
32,0.43416,442,45,4,19.75,24,"PhD","Full-time","Divorced","No",1,0.77499
51,0.94149,687,65,1,18.93,60,"Bachelor's","Unemployed","Divorced","Yes",0,1.42058
57,0.18786,570,49,1,9.55,24,"Master's","Full-time","Single","Yes",0,0.33826
56,2.46151,332,25,4,10.23,48,"Bachelor's","Self-employed","Married","Yes",0,1.05351
20,0.48933,352,70,1,20.46,12,"PhD","Full-time","Divorced","No",0,0.82809
24,1.34525,478,8,1,9,48,"PhD","Part-time","Married","No",1,1.15112
59,0.87811,721,97,1,3.94,60,"Bachelor's","Unemployed","Divorced","Yes",0,1.04684
67,2.30135,628,94,4,22.17,36,"High School","Full-time","Divorced","No",0,0.1711
33,0.28143,666,75,2,8.58,60,"Master's","Part-time","Married","Yes",0,1.40589
38,0.05987,432,69,4,15.62,60,"Bachelor's","Unemployed","Single","Yes",0,1.10668
66,1.14176,329,94,2,7.7,36,"PhD","Part-time","Single","No",0,0.86862
52,2.01249,538,39,4,19.51,36,"Bachelor's","Part-time","Single","No",0,0.45304
34,2.05916,419,29,3,8.32,36,"PhD","Full-time","Single","Yes",0,0.78975
31,1.67228,477,28,4,11.02,24,"High School","Unemployed","Divorced","No",0,0.67705
27,0.5101,420,21,3,16.91,12,"High School","Self-employed","Divorced","No",0,1.2856
37,0.42315,744,72,2,18.46,60,"High School","Unemployed","Married","No",0,0.78782
22,1.57711,509,77,2,19.56,24,"PhD","Full-time","Single","Yes",0,0.77997
24,1.24244,734,103,3,18.36,12,"Master's","Part-time","Divorced","Yes",1,1.36756
49,2.23816,431,43,4,2.63,60,"PhD","Self-employed","Single","No",0,1.37109
39,2.46135,639,53,4,9.99,36,"High School","Unemployed","Married","Yes",0,0.71907
53,2.23548,660,42,1,6.37,24,"PhD","Full-time","Married","No",0,1.05001
20,1.6711,397,98,1,23.06,48,"Bachelor's","Part-time","Divorced","Yes",0,0.68554
24,2.20515,774,63,4,21.84,48,"Master's","Full-time","Divorced","Yes",0,1.37748
29,1.32128,512,74,4,15.74,12,"High School","Self-employed","Divorced","No",0,0.30375
67,1.25035,829,81,4,15.83,12,"Master's","Part-time","Divorced","Yes",0,1.2722
48,0.60566,445,84,3,4.19,12,"Bachelor's","Self-employed","Single","Yes",0,0.53133
33,1.24012,730,23,3,14.11,48,"High School","Full-time","Single","No",0,0.20921
29,2.37175,597,6,1,17.45,48,"PhD","Unemployed","Single","Yes",0,0.66984
35,0.51713,417,119,4,9.97,48,"PhD","Full-time","Divorced","Yes",0,0.17029
63,2.49003,638,104,1,2.34,36,"High School","Unemployed","Married","Yes",0,0.46791
41,0.24365,591,7,2,2.13,36,"High School","Part-time","Married","No",0,0.28758
30,0.18741,615,63,3,21.44,12,"Bachelor's","Unemployed","Married","No",0,1.36755
67,1.96623,428,100,2,16.44,24,"Master's","Unemployed","Single","No",1,1.28001
69,0.21833,366,22,3,22.33,60,"Bachelor's","Full-time","Divorced","Yes",0,1.01228
36,0.44949,386,87,3,13.78,48,"PhD","Unemployed","Single","Yes",0,0.39105
41,1.0146,441,16,3,17.89,48,"Bachelor's","Part-time","Divorced","No",1,0.89746
32,0.9418,717,57,4,9.61,60,"PhD","Unemployed","Married","Yes",0,0.39617
19,2.11357,469,82,2,23.55,36,"High School","Self-employed","Single","Yes",0,1.23459
22,1.20537,528,106,3,3.89,48,"Bachelor's","Full-time","Married","Yes",0,0.48942
40,1.32079,655,62,3,2.04,24,"Master's","Unemployed","Single","No",0,0.18093
29,2.37884,594,44,3,10.24,12,"High School","Part-time","Divorced","Yes",0,1.12002
51,0.60836,575,33,2,17.22,24,"High School","Unemployed","Divorced","No",0,0.29162
40,1.63646,433,19,3,6.71,60,"High School","Part-time","Married","No",0,0.64622
53,2.32091,540,27,2,14.8,60,"Master's","Part-time","Divorced","Yes",0,0.30376
24,0.79793,397,84,1,10.42,48,"Bachelor's","Part-time","Married","No",0,1.40761
62,1.49449,504,90,2,5.78,24,"PhD","Part-time","Married","No",0,0.66214
64,2.30979,323,58,3,9.48,48,"Bachelor's","Full-time","Married","No",0,1.08941
28,2.16528,807,63,1,11.3,12,"PhD","Part-time","Divorced","No",0,0.3231
48,1.48043,600,80,1,5.79,48,"Bachelor's","Part-time","Married","Yes",0,1.08929
39,0.4174,632,78,2,2.16,48,"Master's","Full-time","Divorced","No",0,1.39497
49,0.23991,513,83,2,8.81,36,"PhD","Part-time","Married","No",0,1.25557
50,1.35649,513,6,3,22.09,24,"Bachelor's","Unemployed","Divorced","No",0,0.98305
22,1.34001,734,108,2,15.29,12,"High School","Self-employed","Single","Yes",0,0.64459
21,2.03007,384,56,3,6.83,60,"Bachelor's","Self-employed","Divorced","No",1,0.99191
34,1.08401,374,73,1,16.82,60,"Bachelor's","Part-time","Single","No",0,0.984
34,2.48884,416,41,3,9.86,24,"Master's","Part-time","Single","Yes",1,0.45587
26,0.50476,447,82,4,23.08,36,"Master's","Part-time","Divorced","No",0,0.72165
22,1.9638,383,43,1,15.01,24,"PhD","Unemployed","Married","No",0,0.57989
31,1.84388,391,68,2,21.76,12,"Master's","Full-time","Married","No",1,0.42606
69,1.18112,419,12,2,24.25,24,"Bachelor's","Self-employed","Divorced","No",0,1.05208
55,2.28709,726,43,2,12.02,48,"Master's","Full-time","Divorced","Yes",0,0.44523
69,1.13964,498,103,4,9.03,48,"Bachelor's","Self-employed","Married","Yes",0,1.06647
28,1.521,843,14,3,11.16,60,"High School","Unemployed","Divorced","No",1,0.93125
51,1.60776,551,111,1,13.21,48,"High School","Full-time","Single","No",0,1.36131
46,2.00857,765,50,4,2.21,48,"High School","Self-employed","Married","Yes",0,0.35586
43,0.32648,691,19,2,4.69,48,"Master's","Full-time","Married","No",0,0.84508
46,1.5209,386,114,1,19.67,60,"PhD","Part-time","Single","No",1,1.31587
47,1.91109,759,108,1,2.79,12,"Master's","Self-employed","Single","Yes",0,0.5547
30,0.69578,616,49,3,12.59,24,"PhD","Self-employed","Divorced","No",0,0.23942
58,1.46508,393,76,2,2.16,60,"PhD","Part-time","Married","No",0,1.48266
27,0.65883,577,80,1,23.47,36,"High School","Self-employed","Divorced","No",0,0.99267
41,1.44005,701,73,2,5.64,60,"High School","Self-employed","Married","Yes",0,0.53563
56,0.6516,694,62,4,21.84,48,"PhD","Part-time","Married","No",0,1.43044
53,0.05084,623,11,3,4.87,24,"Master's","Full-time","Single","Yes",0,0.42186
67,0.30223,499,35,1,6.07,48,"High School","Part-time","Divorced","No",0,0.85596
22,1.09837,416,83,2,5.92,12,"High School","Full-time","Single","No",0,1.20604
52,0.5179,314,34,4,3.56,36,"High School","Unemployed","Divorced","Yes",0,1.34036
24,1.50874,684,13,4,23.44,60,"Bachelor's","Part-time","Divorced","Yes",1,0.5693
49,1.68906,542,106,3,8.38,24,"Master's","Full-time","Divorced","No",0,1.15259
49,1.45531,436,77,1,8.73,60,"High School","Self-employed","Divorced","Yes",0,1.19217
23,2.06655,333,91,2,16.67,12,"PhD","Unemployed","Divorced","Yes",1,0.22039
61,0.093,561,73,3,6.82,24,"Master's","Self-employed","Single","No",0,0.26771
59,2.27568,511,105,4,4.03,60,"High School","Full-time","Married","Yes",0,0.40074
36,0.39431,791,70,4,10.16,48,"Master's","Self-employed","Single","No",1,0.6568
60,0.79609,402,113,1,16.95,36,"Bachelor's","Self-employed","Divorced","No",0,1.02015
67,0.49262,504,41,3,13.01,48,"PhD","Part-time","Single","No",0,1.03412
69,0.30908,391,86,1,8.14,60,"Master's","Part-time","Single","No",0,0.6
34,0.75338,664,60,4,18.8,60,"High School","Unemployed","Married","No",1,0.60651
38,0.45173,566,45,2,4.95,36,"Master's","Full-time","Married","Yes",0,1.34734
27,2.1241,740,0,1,4.3,12,"Master's","Full-time","Married","Yes",0,0.6827
42,2.27623,623,105,1,24.12,48,"PhD","Unemployed","Single","No",0,0.31067
66,2.28552,747,62,3,20.39,12,"Master's","Full-time","Divorced","No",0,0.57664
40,1.69558,531,86,4,10.53,12,"High School","Full-time","Married","Yes",0,1.48664
66,1.22362,810,73,2,11.57,24,"Bachelor's","Part-time","Single","No",0,1.38979
22,0.44564,551,28,3,14.88,36,"Master's","Unemployed","Divorced","Yes",0,0.3395
39,1.26851,345,98,2,4.35,60,"Master's","Unemployed","Single","Yes",0,1.4464
68,2.00296,784,18,3,18.05,48,"High School","Unemployed","Divorced","No",0,1.33042
27,0.96772,667,45,1,21.62,12,"Master's","Self-employed","Divorced","Yes",1,0.36803
53,1.80292,685,34,3,22.05,48,"PhD","Unemployed","Single","No",0,1.40452
48,0.94636,549,24,1,14.21,12,"Bachelor's","Part-time","Married","Yes",0,0.73004
64,0.95164,415,45,4,7.52,48,"Master's","Unemployed","Single","Yes",0,0.24759
23,1.12245,753,63,2,4.3,12,"Master's","Unemployed","Married","Yes",0,1.38613
33,0.89399,595,53,4,11.63,60,"Master's","Part-time","Married","No",1,1.10857
61,0.50191,476,34,4,17.38,12,"Master's","Full-time","Single","No",0,1.03468
61,0.65757,671,21,2,8.72,24,"Master's","Full-time","Divorced","Yes",0,1.06556
27,0.3823,454,58,3,20.45,12,"Bachelor's","Part-time","Divorced","No",0,0.53529
38,0.29683,468,71,1,2.95,24,"High School","Self-employed","Married","No",0,1.46719
45,2.22245,456,37,3,13.03,12,"Master's","Part-time","Single","Yes",0,0.82649
43,0.83111,667,77,3,22.01,60,"Bachelor's","Self-employed","Married","Yes",0,1.07625
26,2.40891,702,80,2,19.49,36,"Master's","Unemployed","Single","Yes",1,0.72788
33,0.21215,623,39,1,23.33,60,"Master's","Self-employed","Married","Yes",0,0.40063
40,0.64655,707,53,4,14.75,12,"Master's","Self-employed","Divorced","Yes",0,0.85466
31,2.46594,475,83,2,22.09,12,"Master's","Self-employed","Single","Yes",0,0.37936
30,1.2776,418,3,2,15.82,12,"Master's","Part-time","Single","No",0,1.40794
20,0.26203,437,33,3,24.31,60,"Master's","Self-employed","Single","No",1,1.03763
48,1.41877,373,16,2,9.92,12,"Master's","Self-employed","Divorced","Yes",0,0.7757
19,0.4433,376,81,4,11.18,36,"Bachelor's","Full-time","Divorced","No",0,0.57404
47,0.6438,581,35,1,12.2,48,"Master's","Unemployed","Single","Yes",0,0.99336
30,1.95177,374,105,1,18.65,48,"High School","Part-time","Married","No",0,1.05849
27,0.23808,523,62,2,19.93,24,"High School","Unemployed","Divorced","No",0,0.52107
23,1.24156,470,21,1,17.72,60,"Master's","Part-time","Divorced","Yes",0,0.31776
44,2.02892,671,60,2,15.51,12,"Bachelor's","Self-employed","Married","Yes",1,0.64683
35,1.26271,505,33,4,10.41,24,"Master's","Unemployed","Divorced","Yes",0,1.32604
51,0.89946,607,83,1,9.15,48,"High School","Unemployed","Divorced","Yes",0,1.02982
58,1.08657,578,116,1,7.95,48,"Master's","Part-time","Married","No",0,0.84401
59,1.92949,756,96,3,3.81,48,"Bachelor's","Unemployed","Single","No",0,0.59583
49,1.37557,761,56,4,16.09,48,"Bachelor's","Full-time","Married","No",0,0.27783
68,2.29559,765,66,4,15.92,60,"PhD","Full-time","Divorced","No",0,0.77093
24,0.79664,815,66,3,4.2,36,"PhD","Part-time","Divorced","Yes",0,0.37745
45,0.3129,844,106,2,5.41,60,"PhD","Part-time","Married","Yes",0,0.40355
27,0.56709,444,90,1,18.94,48,"Master's","Self-employed","Married","No",0,0.26896
25,0.18273,429,81,4,4.83,36,"Master's","Unemployed","Married","Yes",0,0.78982
66,0.16421,304,68,2,3.68,60,"PhD","Part-time","Divorced","Yes",0,0.76234
22,1.15262,523,3,4,22.47,48,"PhD","Unemployed","Single","No",1,0.86167
21,1.97152,787,104,1,19.94,36,"High School","Self-employed","Divorced","Yes",0,1.44811
24,2.11214,478,39,4,15.13,12,"Bachelor's","Full-time","Married","Yes",0,0.61938
18,1.13672,739,58,4,4.63,60,"PhD","Self-employed","Single","Yes",0,1.14587
51,1.05811,434,19,3,12.29,24,"PhD","Unemployed","Divorced","Yes",0,0.69829
30,1.44494,808,69,2,21.77,48,"Bachelor's","Self-employed","Single","No",0,0.86294
20,0.30205,746,19,2,14.9,36,"Master's","Unemployed","Single","Yes",0,0.86451
31,0.90414,580,48,4,19.62,36,"Bachelor's","Self-employed","Divorced","Yes",1,0.24771
67,2.21582,304,84,3,20.34,36,"PhD","Part-time","Single","Yes",0,1.21288
37,1.89912,745,91,3,14.26,24,"High School","Unemployed","Single","Yes",0,1.13469
65,0.76185,770,71,3,16.06,48,"PhD","Self-employed","Divorced","Yes",0,0.3782
48,0.77462,696,61,4,6.46,36,"High School","Unemployed","Married","Yes",0,1.00434
62,2.32748,415,24,1,21.24,24,"PhD","Self-employed","Single","No",0,0.63631
48,2.35426,844,32,4,13.06,12,"High School","Unemployed","Divorced","Yes",0,1.49842
26,0.78565,611,17,4,14.11,24,"Bachelor's","Self-employed","Married","Yes",0,0.95452
22,0.41461,506,62,3,7.92,24,"Master's","Unemployed","Married","No",0,1.2316
69,1.99494,501,107,4,3.23,12,"High School","Unemployed","Single","Yes",0,0.94454
41,1.78882,733,52,2,15.21,60,"Master's","Part-time","Divorced","Yes",0,0.59223
38,2.30709,371,27,3,4.67,60,"Bachelor's","Self-employed","Divorced","Yes",0,0.45747
58,1.72471,683,73,4,14.11,36,"PhD","Part-time","Single","No",0,0.91746
23,1.36953,775,65,1,13.3,24,"Master's","Part-time","Single","Yes",0,0.66099
33,0.98874,662,77,3,23.37,48,"Bachelor's","Unemployed","Divorced","Yes",0,1.07773
39,2.41069,324,46,2,20.46,36,"High School","Full-time","Single","Yes",0,0.34331
47,1.24844,452,20,3,12.18,60,"Bachelor's","Part-time","Single","No",0,0.26546
19,0.30524,729,18,2,13.62,36,"PhD","Self-employed","Married","Yes",1,1.00678
22,0.46813,743,110,1,23.6,60,"High School","Part-time","Divorced","Yes",0,0.72962
18,2.28711,619,31,2,8.34,24,"Bachelor's","Self-employed","Single","Yes",0,1.16105
40,1.24385,399,119,1,5.41,12,"Master's","Self-employed","Divorced","Yes",0,0.30577
24,0.56657,775,81,3,8.41,60,"Bachelor's","Unemployed","Divorced","No",0,1.41305
55,2.06642,423,65,3,20.44,60,"PhD","Unemployed","Single","No",0,1.25521
49,0.42248,799,71,3,6.68,24,"PhD","Self-employed","Divorced","No",0,1.03285
32,0.55921,546,39,2,8.38,24,"PhD","Full-time","Married","Yes",0,0.77767
24,0.1944,679,104,1,11.41,12,"Bachelor's","Self-employed","Single","No",0,0.60913
23,1.73954,327,78,1,22.51,60,"High School","Part-time","Divorced","No",1,0.1621
22,1.45545,354,46,1,20.25,12,"High School","Full-time","Married","No",1,1.22968
28,1.82162,505,54,2,24.95,36,"Bachelor's","Part-time","Married","No",0,0.61295
67,1.62067,700,31,4,6.63,24,"Bachelor's","Part-time","Divorced","Yes",0,1.48027
61,1.14096,633,35,3,4.86,60,"PhD","Full-time","Divorced","No",0,0.57534
28,0.73677,800,81,2,20.14,48,"PhD","Self-employed","Divorced","Yes",1,0.34604
28,1.68891,736,41,3,12.42,36,"PhD","Self-employed","Single","Yes",0,1.13188
58,0.90741,604,43,4,18.52,36,"Master's","Full-time","Married","No",0,0.30887
37,2.29125,531,28,2,7.41,48,"High School","Part-time","Divorced","Yes",0,0.22489
59,1.23452,668,68,3,11.9,24,"PhD","Full-time","Single","Yes",0,1.10061
55,2.23668,622,20,4,12.34,60,"High School","Self-employed","Single","Yes",0,1.46228
35,1.17409,688,51,4,18.92,24,"Bachelor's","Full-time","Divorced","Yes",0,0.64524
46,2.02799,464,88,4,23,60,"Bachelor's","Full-time","Married","No",1,0.76354
43,0.38321,347,54,3,17.5,36,"Master's","Part-time","Divorced","Yes",0,1.04448
61,2.33787,331,34,2,7.08,60,"High School","Full-time","Single","Yes",0,0.9972
63,1.6228,655,108,3,14.27,60,"Bachelor's","Part-time","Single","No",0,0.82596
48,0.67988,657,60,1,11.59,60,"PhD","Full-time","Single","Yes",0,0.56699
60,2.27493,832,116,2,3.44,36,"Master's","Part-time","Married","No",0,0.60507
47,1.67749,673,97,3,13.82,48,"High School","Unemployed","Married","Yes",0,1.42124
60,0.92868,529,6,1,23.7,12,"Master's","Self-employed","Divorced","No",1,0.59649
45,0.23014,323,16,1,17.76,48,"Master's","Part-time","Single","No",0,0.3453
27,2.15687,361,74,2,13.89,48,"Master's","Part-time","Married","Yes",1,0.25891
31,1.67256,675,102,4,16.66,24,"High School","Self-employed","Single","Yes",0,0.64116
53,0.18866,597,19,1,18.69,60,"Bachelor's","Full-time","Single","No",1,0.76685
65,1.77985,487,96,3,20.79,12,"High School","Full-time","Single","Yes",0,0.53733
28,2.10721,308,5,4,15.4,48,"Bachelor's","Self-employed","Single","Yes",0,0.47103
39,1.03615,405,25,1,8.94,60,"Master's","Self-employed","Married","No",0,1.25646
64,1.00634,847,45,2,24.93,24,"Master's","Part-time","Single","No",0,0.57325
47,0.11215,714,0,2,7.83,36,"Bachelor's","Part-time","Married","No",0,1.34395
66,2.48502,681,73,2,2.77,24,"High School","Part-time","Single","No",0,1.19121
27,2.00616,366,4,2,15.24,48,"Master's","Unemployed","Single","Yes",1,0.87233
23,0.59606,753,29,3,8.8,12,"PhD","Self-employed","Married","Yes",0,0.27871
37,2.41117,678,84,2,7.48,12,"Bachelor's","Self-employed","Single","No",0,0.71734
28,1.24659,737,82,4,21.19,12,"High School","Unemployed","Divorced","No",0,1.16799
33,0.65845,588,65,3,2.46,36,"PhD","Part-time","Single","No",1,0.17402
50,0.97383,626,59,1,10.57,12,"PhD","Self-employed","Married","No",0,0.57452
41,0.90181,709,83,3,18.37,24,"Master's","Full-time","Married","Yes",0,0.49487
64,0.73394,848,101,3,5.07,36,"PhD","Full-time","Divorced","No",0,1.1599
50,1.83708,446,33,2,21.61,48,"High School","Unemployed","Married","No",0,1.23179
23,1.09933,667,105,3,19.28,12,"High School","Full-time","Married","Yes",0,0.42835
48,0.62171,687,0,4,2.3,12,"PhD","Unemployed","Divorced","Yes",0,0.23449
18,0.36678,480,97,3,14.08,36,"PhD","Full-time","Single","No",0,1.43455
44,2.29034,550,10,2,23.78,48,"Bachelor's","Unemployed","Divorced","No",1,0.8823
18,1.34563,605,38,3,12.74,24,"Master's","Self-employed","Single","Yes",1,0.67687
58,0.49324,333,94,1,8.1,36,"PhD","Self-employed","Married","Yes",0,0.44783
42,1.65883,355,78,2,11.59,24,"PhD","Full-time","Divorced","No",0,0.46391
54,1.28293,335,31,4,13.62,60,"High School","Unemployed","Single","No",0,1.29074
